epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.1584,1.90389,4.39772,0.70624,2.69435,2.0014,0.70831,0.71711,0.76815,0.45788,0.79928,0.80921,0.87665,0.61238,1.22122,1.99008,0.56713,3.472,1.53676,0.000649123,0.000649123,0.000649123
2,15.5808,1.40626,1.77709,0.63818,1.37139,1.51252,0.65,0.64145,0.51496,0.2713,0.2062,0.35855,0.13521,0.05942,1.4708,4.13813,0.43435,8.49587,2.05493,0.00130928,0.00130928,0.00130928
3,22.9905,1.24087,1.32434,0.58755,1.23321,1.36011,0.84702,0.6875,0.67422,0.34259,0.11644,0.59868,0.09694,0.04047,1.67675,3.60354,0.32422,2.66329,1.75468,0.00196283,0.00196283,0.00196283
4,30.5759,1.17917,1.06008,0.57636,1.15763,1.3136,0.51748,0.78618,0.71912,0.54417,0.56945,0.86513,0.83013,0.63852,0.93685,1.14655,0.36382,4.32156,1.19455,0.0019703,0.0019703,0.0019703
5,38.1853,1.11757,0.94333,0.55158,1.11145,1.27195,0.86171,0.79939,0.77239,0.58112,0.96085,0.88806,0.92537,0.84023,0.9306,0.75243,0.32588,1.2492,1.19721,0.0019604,0.0019604,0.0019604
6,45.7076,1.00158,0.76214,0.55258,0.95857,1.20712,0.86974,0.83462,0.81916,0.69059,0.96193,0.91423,0.92438,0.84715,0.71735,0.47573,0.30953,1.00558,0.94406,0.0019505,0.0019505,0.0019505
7,53.5854,0.89328,0.59668,0.51805,0.89049,1.14226,0.79554,0.77303,0.83965,0.71315,0.97237,0.81027,0.91741,0.90757,0.59078,0.27895,0.31948,0.91993,0.92554,0.0019406,0.0019406,0.0019406
8,61.1219,0.82784,0.52642,0.48267,0.81175,1.07312,0.88256,0.82895,0.86808,0.76005,0.98435,0.91118,0.92579,0.89939,0.57779,0.36419,0.29918,0.75313,0.89646,0.0019307,0.0019307,0.0019307
9,68.5806,0.78691,0.54615,0.50271,0.81744,1.08512,0.87751,0.82482,0.87026,0.77195,0.9847,0.92763,0.935,0.91177,0.57479,0.35035,0.27619,0.74445,0.90481,0.0019208,0.0019208,0.0019208
10,76.0441,0.78214,0.47812,0.47102,0.78231,1.08902,0.87409,0.76645,0.79738,0.70167,0.98373,0.86184,0.91796,0.90308,0.66955,0.34323,0.28312,1.48963,0.94471,0.0019109,0.0019109,0.0019109
11,83.7408,0.80138,0.483,0.45235,0.79956,1.09473,0.86452,0.81862,0.86472,0.74873,0.97846,0.90132,0.93344,0.91547,0.58752,0.32602,0.26389,0.74059,0.87999,0.001901,0.001901,0.001901
12,91.2676,0.74117,0.41871,0.42981,0.76624,1.04748,0.88245,0.8125,0.85045,0.77118,0.98669,0.90789,0.9297,0.90273,0.53636,0.29291,0.26918,0.73305,0.85114,0.0018911,0.0018911,0.0018911
13,98.622,0.75789,0.44943,0.42102,0.79321,1.04623,0.87536,0.79605,0.87259,0.77964,0.93826,0.91447,0.93831,0.92381,0.55377,0.22168,0.28429,0.66489,0.85196,0.0018812,0.0018812,0.0018812
14,106.117,0.74136,0.4255,0.39629,0.7272,1.06244,0.85028,0.80331,0.87459,0.79373,0.93828,0.85526,0.92221,0.91462,0.51356,0.25997,0.26636,0.63351,0.83264,0.0018713,0.0018713,0.0018713
15,113.639,0.77133,0.50756,0.3865,0.81232,1.06582,0.84404,0.82237,0.86147,0.76399,0.89291,0.875,0.91922,0.90664,0.53249,0.26513,0.28657,0.6595,0.83134,0.0018614,0.0018614,0.0018614
16,121.056,0.73432,0.48966,0.37655,0.80237,1.02976,0.89541,0.80592,0.8766,0.79907,0.99631,0.88764,0.94056,0.93011,0.52667,0.20348,0.22364,0.66744,0.83476,0.0018515,0.0018515,0.0018515
17,128.557,0.70735,0.41501,0.36474,0.73776,1.0157,0.85912,0.82246,0.88163,0.80354,0.91637,0.90114,0.93631,0.91869,0.49681,0.23747,0.25033,0.62854,0.81058,0.0018416,0.0018416,0.0018416
18,135.915,0.67966,0.38973,0.33423,0.69011,0.99813,0.88709,0.82699,0.88754,0.79549,0.98562,0.91447,0.95514,0.93667,0.47328,0.21704,0.20737,0.65129,0.81404,0.0018317,0.0018317,0.0018317
19,143.568,0.66712,0.3517,0.31196,0.68597,1.01038,0.90593,0.79193,0.90001,0.79774,0.9912,0.88487,0.96965,0.94759,0.53313,0.27995,0.2258,0.65847,0.83423,0.0018218,0.0018218,0.0018218
20,151.266,0.68034,0.31311,0.30648,0.70014,1.01069,0.91931,0.83553,0.88184,0.79975,0.98777,0.89803,0.96984,0.9487,0.45135,0.20992,0.19469,0.59742,0.79057,0.0018119,0.0018119,0.0018119
21,158.877,0.61179,0.28064,0.30425,0.62595,0.98167,0.91385,0.83882,0.89522,0.80433,0.97194,0.92763,0.95839,0.93788,0.44048,0.22406,0.19439,0.60244,0.78557,0.001802,0.001802,0.001802
22,166.288,0.60699,0.28834,0.26978,0.63046,0.97046,0.93013,0.83199,0.90925,0.8384,0.99633,0.89263,0.9714,0.95367,0.43844,0.20196,0.18515,0.52939,0.78033,0.0017921,0.0017921,0.0017921
23,173.776,0.63198,0.30035,0.29079,0.62272,0.96632,0.80863,0.87171,0.91249,0.84648,0.85854,0.92434,0.9555,0.93402,0.43837,0.20039,0.23571,0.54476,0.78486,0.0017822,0.0017822,0.0017822
24,181.135,0.64673,0.28265,0.27012,0.62078,0.97834,0.88755,0.83085,0.91845,0.81554,0.96176,0.90132,0.9799,0.96548,0.48795,0.20103,0.20477,0.58642,0.80326,0.0017723,0.0017723,0.0017723
25,188.361,0.58981,0.29195,0.25763,0.58389,0.95686,0.88967,0.84881,0.9278,0.85621,0.96181,0.91123,0.96815,0.95438,0.42478,0.18931,0.16313,0.53862,0.77454,0.0017624,0.0017624,0.0017624
26,195.988,0.61715,0.27594,0.26411,0.63521,0.99094,0.8856,0.83553,0.91435,0.8481,0.99295,0.92665,0.98431,0.96897,0.40297,0.15839,0.17537,0.59317,0.77146,0.0017525,0.0017525,0.0017525
27,203.463,0.54103,0.23992,0.25093,0.60825,0.95752,0.90296,0.82644,0.92527,0.84736,0.95268,0.89474,0.9677,0.95251,0.40196,0.14702,0.1653,0.53982,0.76898,0.0017426,0.0017426,0.0017426
28,210.864,0.56172,0.26764,0.24459,0.59827,0.95574,0.94101,0.82237,0.94573,0.87079,0.92039,0.91274,0.97768,0.96223,0.37154,0.16482,0.1561,0.47016,0.76461,0.0017327,0.0017327,0.0017327
29,218.345,0.54777,0.27419,0.24453,0.57845,0.95339,0.92669,0.83224,0.93677,0.87572,0.96705,0.8688,0.97135,0.954,0.35391,0.14128,0.16172,0.46998,0.74861,0.0017228,0.0017228,0.0017228
30,225.77,0.54944,0.2567,0.22108,0.61313,0.92828,0.79249,0.85855,0.90904,0.82757,0.81782,0.88816,0.93931,0.92096,0.41335,0.18841,0.18563,0.58963,0.77498,0.0017129,0.0017129,0.0017129
31,233.204,0.5661,0.30419,0.23799,0.59951,0.95968,0.93528,0.85561,0.93226,0.8603,0.96408,0.88289,0.95998,0.94464,0.41947,0.17631,0.18202,0.48643,0.77244,0.001703,0.001703,0.001703
32,240.539,0.57978,0.22578,0.24169,0.57763,0.97281,0.91394,0.83837,0.92133,0.86478,0.97169,0.9031,0.95942,0.93591,0.3971,0.23792,0.14876,0.49082,0.75837,0.0016931,0.0016931,0.0016931
33,247.857,0.56284,0.29983,0.21345,0.61646,0.93078,0.95848,0.86513,0.93658,0.88068,0.99128,0.89474,0.96457,0.95078,0.38016,0.14542,0.16151,0.47252,0.75582,0.0016832,0.0016832,0.0016832
34,255.168,0.57336,0.21166,0.21848,0.58049,0.95715,0.9346,0.82237,0.93205,0.86875,0.96849,0.85197,0.96171,0.9428,0.39148,0.15613,0.15857,0.49966,0.77128,0.0016733,0.0016733,0.0016733
35,262.496,0.55289,0.19167,0.21788,0.53161,0.94901,0.89144,0.89145,0.94118,0.87635,0.91499,0.90789,0.96606,0.9555,0.41588,0.14325,0.15186,0.47376,0.76762,0.0016634,0.0016634,0.0016634
36,269.788,0.54282,0.21216,0.22286,0.54956,0.94442,0.9136,0.83553,0.93857,0.87485,0.97385,0.90132,0.98367,0.96805,0.39048,0.17413,0.15212,0.46943,0.75817,0.0016535,0.0016535,0.0016535
37,277.26,0.56808,0.24643,0.22205,0.54683,0.94171,0.95172,0.86842,0.9414,0.84635,0.97792,0.89474,0.97197,0.9612,0.48673,0.11981,0.15481,0.49096,0.78964,0.0016436,0.0016436,0.0016436
38,284.641,0.54289,0.22097,0.19963,0.52523,0.95514,0.85108,0.93092,0.94195,0.85446,0.9834,0.93421,0.98666,0.9724,0.42972,0.1479,0.16857,0.51324,0.79769,0.0016337,0.0016337,0.0016337
