epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,92.8628,0.6277,1.14636,0.33517,0.68857,0.98342,0.95762,0.78295,0.91935,0.82268,0.96367,0.7879,0.8524,0.68105,0.53751,1.72654,0.224,0.57311,0.77509,0.0017426,0.0017426,0.0017426
28,96.1127,0.59223,1.32627,0.32713,0.62429,0.94799,0.91914,0.85644,0.91995,0.85527,0.92445,0.86139,0.8529,0.68472,0.42709,1.73355,0.2069,0.5808,0.72823,0.0017327,0.0017327,0.0017327
29,99.5012,0.61273,1.12649,0.31488,0.61868,0.96977,0.91062,0.82673,0.91644,0.85665,0.90802,0.82673,0.85681,0.68161,0.4141,1.73323,0.19,0.58084,0.72891,0.0017228,0.0017228,0.0017228
30,102.845,0.60243,1.02366,0.3283,0.66179,0.96297,0.9127,0.84158,0.91528,0.82514,0.92309,0.86139,0.85742,0.68834,0.45778,1.68751,0.18193,0.55236,0.72957,0.0017129,0.0017129,0.0017129
31,106.126,0.63308,1.36707,0.33757,0.70571,0.98452,0.90344,0.83378,0.91222,0.81328,0.91417,0.84368,0.85275,0.65189,0.51484,1.69932,0.1625,0.57578,0.75419,0.001703,0.001703,0.001703
32,109.411,0.65514,1.41596,0.29436,0.71264,0.98525,0.92447,0.82178,0.9238,0.8321,0.93023,0.82673,0.85933,0.66469,0.45552,1.68011,0.14796,0.54149,0.74265,0.0016931,0.0016931,0.0016931
33,112.798,0.60026,1.15095,0.30303,0.64011,0.96692,0.92557,0.87129,0.92531,0.84175,0.91986,0.86634,0.85727,0.67769,0.47998,1.7279,0.13206,0.5634,0.73414,0.0016832,0.0016832,0.0016832
34,116.102,0.60313,1.44823,0.30081,0.6819,0.95691,0.87994,0.91089,0.93058,0.841,0.9411,0.84158,0.8624,0.69365,0.49634,1.7225,0.12025,0.51128,0.7235,0.0016733,0.0016733,0.0016733
35,119.451,0.61402,1.09308,0.32785,0.61919,0.96392,0.89848,0.83244,0.92242,0.83924,0.90382,0.83739,0.86132,0.65881,0.46572,1.73446,0.15003,0.61543,0.72261,0.0016634,0.0016634,0.0016634
36,122.746,0.62654,1.31067,0.27025,0.63147,0.95903,0.94987,0.84431,0.92545,0.82395,0.95549,0.85022,0.85281,0.65683,0.48441,1.74496,0.14495,0.51387,0.74036,0.0016535,0.0016535,0.0016535
37,126.052,0.55526,1.30715,0.26992,0.58888,0.94265,0.9281,0.89458,0.94032,0.88713,0.94586,0.85149,0.85727,0.68001,0.41317,1.69283,0.1201,0.4941,0.71592,0.0016436,0.0016436,0.0016436
38,129.487,0.54524,1.14473,0.27365,0.57312,0.95501,0.91894,0.88614,0.92805,0.85073,0.95573,0.85506,0.85498,0.65511,0.45296,1.71263,0.14892,0.49012,0.72729,0.0016337,0.0016337,0.0016337
39,132.807,0.59728,1.49653,0.29558,0.6415,0.95293,0.92838,0.89834,0.93422,0.86953,0.87978,0.85644,0.85395,0.68845,0.43774,1.73938,0.1487,0.48701,0.73171,0.0016238,0.0016238,0.0016238
40,136.148,0.55181,1.25443,0.26598,0.58054,0.93362,0.93413,0.85149,0.94296,0.85702,0.94021,0.85627,0.86303,0.69413,0.40584,1.70197,0.13759,0.49818,0.70786,0.0016139,0.0016139,0.0016139
41,139.485,0.55165,1.26243,0.26572,0.60358,0.94641,0.93536,0.85962,0.92507,0.85992,0.94059,0.86209,0.86189,0.69511,0.38559,1.68704,0.1189,0.52491,0.70041,0.001604,0.001604,0.001604
42,142.785,0.57911,1.26742,0.26735,0.64183,0.95287,0.93843,0.90548,0.93455,0.85266,0.89174,0.85644,0.85501,0.67999,0.45459,1.71299,0.10979,0.56746,0.73586,0.0015941,0.0015941,0.0015941
43,146.08,0.56732,1.08387,0.29184,0.5853,0.95154,0.93645,0.90594,0.94966,0.87304,0.92251,0.85644,0.86549,0.69254,0.41084,1.69164,0.12449,0.47749,0.71688,0.0015842,0.0015842,0.0015842
44,149.411,0.53666,1.1211,0.29396,0.56894,0.93365,0.95077,0.86049,0.94941,0.88768,0.9413,0.86139,0.8661,0.69191,0.38858,1.68865,0.13307,0.46863,0.70926,0.0015743,0.0015743,0.0015743
45,152.865,0.528,1.07213,0.25128,0.53012,0.94424,0.93801,0.86634,0.94493,0.88443,0.9456,0.86054,0.86248,0.6973,0.37415,1.6906,0.14366,0.44609,0.70188,0.0015644,0.0015644,0.0015644
46,156.419,0.53608,1.207,0.25868,0.54493,0.94335,0.94873,0.916,0.95323,0.88567,0.89709,0.86308,0.83515,0.67508,0.3571,1.70033,0.11847,0.41035,0.6976,0.0015545,0.0015545,0.0015545
47,159.861,0.51456,1.09409,0.26399,0.51982,0.9512,0.93311,0.89771,0.95453,0.89883,0.9063,0.86191,0.87058,0.7016,0.36309,1.72135,0.08682,0.41107,0.69818,0.0015446,0.0015446,0.0015446
48,163.366,0.49845,1.17258,0.26367,0.54191,0.92898,0.92965,0.9159,0.97019,0.8995,0.91469,0.86634,0.86321,0.66972,0.37839,1.70523,0.09832,0.45435,0.70747,0.0015347,0.0015347,0.0015347
