epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.06029,2.10491,4.96491,0.71782,3.14902,2.1398,0.77528,0.34158,0.55521,0.36781,0.26535,0.57921,0.32494,0.06656,1.3484,2.89002,0.50081,56.0167,1.39779,0.000649123,0.000649123,0.000649123
2,9.97668,1.53276,2.28877,0.66575,1.84959,1.59995,0.55966,0.72988,0.52657,0.33994,0.60593,0.79208,0.57291,0.37632,1.0738,1.38182,0.49637,17.1754,1.2675,0.00131145,0.00131145,0.00131145
3,15.0347,1.52879,1.49747,0.60895,1.5946,1.48951,0.16688,0.65347,0.14253,0.08505,0.04416,0.82673,0.0411,0.01645,1.18643,4.37872,0.3833,285.19,1.19387,0.00196937,0.00196937,0.00196937
4,19.9741,1.46694,1.60053,0.59583,1.677,1.51119,0.48057,0.67327,0.41404,0.23975,0.37102,0.5198,0.29048,0.11297,1.08515,2.80501,0.36066,175.333,1.23173,0.0019802,0.0019802,0.0019802
5,24.8799,1.30544,1.08791,0.55283,1.50465,1.40495,0.61051,0.69307,0.59408,0.4331,0.63557,0.83749,0.79108,0.40554,0.94999,1.19469,0.27328,38.7081,1.00438,0.0019736,0.0019736,0.0019736
6,29.9583,1.20192,0.88553,0.54123,1.38509,1.30038,0.6434,0.78713,0.75859,0.56047,0.78041,0.76238,0.86613,0.78627,0.85167,0.78032,0.29533,17.5042,0.9253,0.001967,0.001967,0.001967
7,35.0122,1.10532,0.71892,0.53534,1.28585,1.23906,0.61649,0.83168,0.79274,0.60742,0.74131,0.86538,0.89361,0.8049,0.7171,0.36217,0.27406,18.1921,0.78829,0.0019604,0.0019604,0.0019604
8,40.0178,1.07815,0.74956,0.48698,1.14921,1.225,0.72766,0.71782,0.7776,0.58367,0.87176,0.74036,0.86414,0.77809,0.74337,0.44813,0.2612,20.4814,0.8043,0.0019538,0.0019538,0.0019538
9,44.8491,1.04413,0.77041,0.50386,1.19284,1.22998,0.82403,0.78218,0.83836,0.65133,0.97837,0.89552,0.94013,0.89397,0.68327,0.53872,0.24347,10.7079,0.75593,0.0019472,0.0019472,0.0019472
10,49.8606,0.90611,0.53564,0.4711,0.96992,1.13902,0.8365,0.82673,0.87253,0.7609,0.9742,0.93449,0.95203,0.90112,0.5589,0.45094,0.23341,8.5317,0.70573,0.0019406,0.0019406,0.0019406
11,54.8662,0.95713,0.53459,0.45992,1.00627,1.14707,0.77077,0.85149,0.84145,0.69781,0.86512,0.92085,0.93547,0.91901,0.59962,0.23871,0.24806,12.4331,0.70527,0.001934,0.001934,0.001934
